,Unnamed: 0,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022
0,Lưu chuyển tiền thuần từ các hoạt động sản xuất kinh doanh,-1676380007.0,-12012538227.0,-12228874153.0,5509294309.0,-48171716.0,-15898054332.0,-18463781233.0,-3625284496.0,-4692343413.0,-577439482.0
1,Lãi/lỗ trước những thay đổi vốn lưu động,2108248691.0,-475066244.0,4136246118.0,-628309897.0,-277809583.0,-10149397139.0,-748718280.0,961200082.0,-2666261306.0,-11080489261.0
2,Lãi trước thuế,16441914343.0,16757322608.0,12072179959.0,16223672372.0,11160435275.0,8251773768.0,25918838564.0,55299739050.0,56353354542.0,-38197756676.0
3,Khấu hao TSCĐ,596943955.0,599931246.0,577723575.0,572776168.0,517759701.0,477224371.0,446678487.0,446678487.0,446678487.0,355330701.0
4,Phân bổ lợi thế thương mại,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Chi phí dự phòng,0.0,-142797240.0,0.0,0.0,10172400.0,-209261382.0,0.0,7918200.0,47331514.0,48957873.0
6,Lãi/(lỗ) chênh lệch tỷ giá chưa thực hiện,0.0,54699001.0,0.0,1851541.0,-1851541.0,13246578.0,0.0,-15240481.0,15240481.0,-197647962.0
8,Lãi/(lỗ) từ hoạt động đầu tư,-14930609607.0,-17744221859.0,-8513657416.0,-17426609978.0,-11964325418.0,-18682380474.0,-27114235331.0,-54777895174.0,-59528866330.0,26910626803.0
9,Chi phí lãi vay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,Các khoản điều chỉnh khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,(Tăng)/giảm các khoản phải thu,2169199932.0,-6609054738.0,3620008387.0,-5029297220.0,147933410.0,-4638937213.0,6536549295.0,-17614198846.0,-1731002695.0,6523665633.0
13,(Tăng)/giảm hàng tồn kho,155819174.0,-1861975929.0,1764624818.0,12245340.0,-136112779.0,138131199.0,-73049394.0,-3187661838.0,-2547366599.0,4444049389.0
14,Tăng/(giảm) các khoản phải trả,-2918471341.0,-138777628.0,-15682604516.0,12415462168.0,1995939540.0,278641283.0,-20088463636.0,16639281094.0,3772457159.0,1734459001.0
15,( Tăng)/giảm chi phí trả trước,-41804438.0,62302065.0,-23265908.0,-159298680.0,101585000.0,-133355836.0,-95413413.0,-148475293.0,-220239445.0,-21925387.0
16,(Tăng)/giảm chứng khoán kinh doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,Chi phí lãi vay đã trả,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,Thuế thu nhập doanh nghiệp đã trả,-1232962815.0,-828575493.0,-2545197438.0,-500000000.0,-672552980.0,-559169476.0,-774564204.0,589403509.0,-544681116.0,-500000000.0
