,CHỈ TIÊU,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022
0,Doanh số,335325149191.0,383278145508.0,229355539523.0,333672752310.0,276586673458.0,418305580730.0,289195186065.0,498855515930.0,602373708334.0,611101140799.0
1,Các khoản giảm trừ,0.0,0.0,-56083313.0,-630014060.0,-21490944.0,-411022046.0,0.0,-223710060.0,0.0,0.0
2,Doanh số thuần,335325149191.0,383278145508.0,229299456210.0,333042738250.0,276565182514.0,417894558684.0,289195186065.0,498631805870.0,602373708334.0,611101140799.0
3,Giá vốn hàng bán,-284194015974.0,-340567837691.0,-205605493853.0,-292872414188.0,-244396773634.0,-375767730089.0,-275020087260.0,-442560921148.0,-537258000297.0,-552896220798.0
4,Lãi gộp,51131133217.0,42710307817.0,23693962357.0,40170324062.0,32168408880.0,42126828595.0,14175098805.0,56070884722.0,65115708037.0,58204920001.0
5,Thu nhập tài chính,166204244.0,99492891.0,42868125.0,249596546.0,2186863383.0,1335737187.0,157432705.0,533626383.0,138106420.0,20610268.0
6,Chi phí tài chính,-13171292525.0,-11083724815.0,-9876406616.0,-10340839026.0,-8918513204.0,-9320698775.0,-12076737889.0,-18715715240.0,-23010425700.0,-22717122740.0
7,Trong đó: Chi phí lãi vay,-12475939974.0,-10990451432.0,-9876406616.0,-10017239225.0,-8613788611.0,-8287203188.0,-11809841158.0,-17688710542.0,-22261296902.0,-21702969378.0
8,Lãi/(lỗ) từ công ty liên doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Chi phí bán hàng,-12514231179.0,-10307647836.0,-2837554716.0,-6314681194.0,-10284224954.0,-13153100091.0,-5438839118.0,-12449066614.0,-12356753665.0,-6907238280.0
10,Chi phí quản lý doanh  nghiệp,-4169443179.0,-5418657522.0,-4792684355.0,-4395863721.0,-3888807299.0,-1579517932.0,-8373092294.0,-5423871738.0,-5348550931.0,-2598001561.0
11,Lãi/(lỗ) từ hoạt động kinh doanh,21442370578.0,15999770535.0,6230184795.0,19368536667.0,11263726806.0,19409248984.0,-11556137791.0,20015857513.0,24538084161.0,26003167688.0
12,Thu nhập khác,113853823.0,461526402.0,0.0,15488047.0,4.0,251719375.0,342346959.0,186683919.0,610232583.0,128206745.0
13,Chi phí khác,0.0,-7007214.0,0.0,-1137719.0,-3000000.0,-107360.0,0.0,-3561086.0,-63099.0,-2021497.0
14,"Thu nhập khác, ròng",113853823.0,454519188.0,0.0,14350328.0,-2999996.0,251612015.0,342346959.0,183122833.0,610169484.0,126185248.0
16,Lãi/(lỗ) ròng trước thuế,21556224401.0,16454289723.0,6230184795.0,19382886995.0,11260726810.0,19660860999.0,-11213790832.0,20198980346.0,25148253645.0,26129352936.0
17,Thuế thu nhập doanh nghiệp – hiện thời,0.0,-2643713375.0,-1227693268.0,-3599861537.0,-2048388334.0,-3492021837.0,0.0,-1831350120.0,-5046463349.0,-2486741695.0
18,Thuế thu nhập doanh nghiệp – hoãn lại,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Chi phí thuế thu nhập doanh nghiệp,0.0,-2643713375.0,-1227693268.0,-3599861537.0,-2048388334.0,-3492021837.0,0.0,-1831350120.0,-5046463349.0,-2486741695.0
20,Lãi/(lỗ) thuần sau thuế,21556224401.0,13810576348.0,5002491527.0,15783025458.0,9212338476.0,16168839162.0,-11213790832.0,18367630226.0,20101790296.0,23642611241.0
21,Lợi ích của cổ đông thiểu số,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,Lợi nhuận của Cổ đông của Công ty mẹ,21556224401.0,13810576348.0,5002491527.0,15783025458.0,9212338476.0,16168839162.0,-11213790832.0,18367630226.0,20101790296.0,23642611241.0
23,Lãi cơ bản trên cổ phiếu,1105.0,708.0,257.0,809.0,332.0,323.0,-224.0,367.0,402.0,473.0
24,Lãi trên cổ phiếu pha loãng,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
