,CHỈ TIÊU,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,TỔNG TÀI SẢN,491503663463.0,541935029310.0,575412882667.0,676263575346.0,658255019581.0,641766331858.0,574859073313.0,616779649548.0,681575067011.0,406241263642.0
1,TÀI SẢN NGẮN HẠN,375800981262.0,436485228104.0,453022002718.0,523288483438.0,471418662352.0,452523969890.0,383141395759.0,444907538890.0,532519482395.0,285073332279.0
2,Tiền và tương đương tiền,65061880656.0,71962946261.0,106658600272.0,226018102803.0,157294256423.0,40623417165.0,19950618642.0,37386287153.0,26020391385.0,1648119276.0
3,Tiền,41638185510.0,53271900548.0,63835522196.0,126654749303.0,95391025904.0,40623417165.0,19950618642.0,37386287153.0,26020391385.0,1648119276.0
4,Các khoản tương đương tiền,23423695146.0,18691045713.0,42823078076.0,99363353500.0,61903230519.0,0.0,0.0,0.0,0.0,0.0
5,Giá trị thuần đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,27344430036.0,62589040064.0,92186093588.0,83616762369.0,510000000.0
6,Đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Dự phòng đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Chứng khoán đầu tư giữ đến ngày đáo hạn,0.0,0.0,0.0,0.0,0.0,27344430036.0,62589040064.0,92186093588.0,83616762369.0,510000000.0
9,Các khoản phải thu,131479240128.0,169793638834.0,156557744914.0,134738767583.0,186070939407.0,172764028354.0,183154900341.0,189091243675.0,262456038612.0,255068384083.0
10,Phải thu khách hàng,118104771677.0,141786256209.0,134731865138.0,96448533102.0,142669552266.0,119944484108.0,144194159629.0,164239952209.0,145802665063.0,149246427821.0
11,Trả trước người bán,13763489818.0,12023448258.0,17799067318.0,14292696808.0,24965463473.0,33330983275.0,29682787559.0,21682565660.0,7584572324.0,7676816830.0
12,Phải thu nội bộ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Phải thu về XDCB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Phải thu về cho vay ngắn hạn,0.0,12800000000.0,5500000000.0,25000000000.0,15000000000.0,15000000000.0,5830000000.0,0.0,0.0,0.0
15,Phải thu khác,3285657614.0,7708851931.0,3687140731.0,4396273822.0,4776922083.0,5630977313.0,4765913360.0,5597717597.0,109097969059.0,166305466085.0
16,Dự phòng nợ khó đòi,-3674678981.0,-4524917564.0,-5160328273.0,-5398736149.0,-1340998415.0,-1142416342.0,-1317960207.0,-2428991791.0,-29167834.0,-68160326653.0
17,Tài sản thiếu chờ xử lý,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,"Hàng tồn kho, ròng",172465855138.0,193243836160.0,186553899408.0,159653057164.0,122966054752.0,200863747446.0,116467166181.0,126243914474.0,160103181096.0,27846828920.0
