,Unnamed: 0,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022
0,Lưu chuyển tiền thuần từ các hoạt động sản xuất kinh doanh,-19516114818.0,-17320456224.0,18713053422.0,-24389424212.0,13660616599.0,-16472838649.0,76485303808.0,-127039179253.0,100252920884.0,-261462392681.0
1,Lãi/lỗ trước những thay đổi vốn lưu động,13493638005.0,15087689901.0,-1069766151.0,9826720341.0,26912713208.0,7493943601.0,9635095498.0,5032963013.0,18922745043.0,17554826378.0
2,Lãi trước thuế,227155678.0,3520360458.0,3465525335.0,-473822640.0,-28519336.0,4926940322.0,634300019.0,26260792.0,1191324379.0,2869609220.0
3,Khấu hao TSCĐ,8923635012.0,8711430854.0,7132660543.0,7276206177.0,4625901463.0,4037043825.0,5885258324.0,6712034366.0,7285840736.0,7070262416.0
4,Phân bổ lợi thế thương mại,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Chi phí dự phòng,2029002127.0,-5498595303.0,-3623046453.0,-11494084456.0,15739422979.0,-5735559752.0,-1484155227.0,-5668281793.0,2756102582.0,-605236957.0
6,Lãi/(lỗ) chênh lệch tỷ giá chưa thực hiện,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Lãi/(lỗ) từ hoạt động đầu tư,-1288872158.0,4614747160.0,-307636.0,-2225644450.0,2224988876.0,963210.0,0.0,-1984606614.0,0.0,0.0
9,Chi phí lãi vay,3602717346.0,3739746732.0,4213449746.0,4486018024.0,4350919226.0,4264555996.0,4599692382.0,5947556262.0,7689477346.0,8220191699.0
11,Các khoản điều chỉnh khác,0.0,0.0,-12258047686.0,12258047686.0,0.0,0.0,0.0,0.0,0.0,0.0
12,(Tăng)/giảm các khoản phải thu,35124958729.0,3605522069.0,71638606171.0,-18394335516.0,55077072674.0,-48673950117.0,16893834287.0,-85547598597.0,24502683322.0,-208524001931.0
13,(Tăng)/giảm hàng tồn kho,-19717436600.0,1468157527.0,-59697780971.0,-17917229747.0,-2712975816.0,51355663114.0,-49616556321.0,-18595563343.0,-49193149146.0,-69293386259.0
14,Tăng/(giảm) các khoản phải trả,-41001492161.0,-35215683972.0,13705272284.0,5325931482.0,-61484056951.0,-27633117773.0,110349644135.0,-18575856662.0,122766233991.0,18608646304.0
15,( Tăng)/giảm chi phí trả trước,-1870248808.0,1822757158.0,-1544734321.0,3324486187.0,-188908438.0,1386434757.0,-5944947779.0,-2471910102.0,-9985287949.0,-9702833282.0
16,(Tăng)/giảm chứng khoán kinh doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,Chi phí lãi vay đã trả,-3989040764.0,-3739746732.0,-4234243590.0,-5368290359.0,-3864028078.0,0.0,-4495666012.0,-5367313698.0,-6746304377.0,-8786811003.0
18,Thuế thu nhập doanh nghiệp đã trả,-251681247.0,0.0,0.0,-816206600.0,0.0,-380612231.0,0.0,-1387699864.0,0.0,-1293932888.0
19,Tiền thu khác từ các hoạt động kinh doanh,116407273.0,-116407273.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,Tiền chi khác từ các hoạt động kinh doanh,-1421219245.0,-232744902.0,-84300000.0,-370500000.0,-79200000.0,-21200000.0,-336100000.0,-126200000.0,-14000000.0,-24900000.0
21,Lưu chuyển tiền tệ ròng từ hoạt động đầu tư,437196530.0,4123180115.0,-6285689555.0,-9088750309.0,-584879576.0,64252239.0,-77901542863.0,8741415522.0,-26328082624.0,53686814783.0
22,Tiền mua tài sản cố định và các tài sản dài hạn khác,-1427818181.0,-269140238.0,-9133717795.0,-6615281449.0,-1680705279.0,0.0,-78581117222.0,8677410833.0,-25482143425.0,65770874967.0
23,Tiền thu được từ thanh lý tài sản cố định,823113018.0,11630909.0,0.0,0.0,0.0,0.0,0.0,77314815.0,0.0,77314815.0
24,Tiền cho vay hoặc mua công cụ nợ,0.0,0.0,0.0,-1573208753.0,73208753.0,0.0,0.0,-1310338910.0,-1500000000.0,0.0
25,Tiền thu từ cho vay hoặc thu từ phát hành công cụ nợ,0.0,3589129748.0,2000000000.0,-2000000000.0,0.0,0.0,0.0,0.0,0.0,-1400000000.0
26,Đầu tư vào các doanh nghiệp khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12000000000.0
27,Tiền thu từ việc bán các khoản đầu tư vào các doanh nghiệp khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,Cổ tức và tiền lãi nhận được,1041901693.0,791559696.0,848028240.0,1099739893.0,1022616950.0,64252239.0,679574359.0,1297028784.0,654060801.0,1238625001.0
29,Lưu chuyển tiền tệ từ hoạt động tài chính,9405802117.0,24879259357.0,11714305307.0,1215824965.0,-14499478956.0,5512774606.0,60490860743.0,48154827561.0,76116182062.0,121018790447.0
30,Tiền thu từ phát hành cổ phiếu và vốn góp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12030000000.0
31,"Chi trả cho việc mua lại, trả lại cổ phiếu",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,Tiền thu được các khoản đi vay,105808985471.0,118064024419.0,123591890213.0,120454121551.0,153096427710.0,108373207072.0,112237702313.0,187218851720.0,215576859111.0,227600922274.0
33,Tiển trả các khoản đi vay,-96393159549.0,-93164844062.0,-95871329206.0,-119234645586.0,-167595906666.0,-92860432466.0,-51746841570.0,-138331649884.0,-139445316129.0,-118608205477.0
34,Tiền thanh toán vốn gốc đi thuê tài chính,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-711281250.0,0.0,0.0
35,Cổ tức đã trả,-10023805.0,-19921000.0,-16006255700.0,-3651000.0,0.0,-10000000000.0,0.0,-21093025.0,-15360920.0,-3926350.0
37,Lưu chuyển tiền thuần trong kỳ,-9673116171.0,11681983248.0,24141669174.0,-32262349556.0,-1423741933.0,-10895811804.0,59074621688.0,-70142936170.0,150041020322.0,-86756787451.0
38,Tiền và tương đương tiền đầu kỳ,37025938206.0,27352822035.0,39037400860.0,63179070034.0,30916720478.0,29492978545.0,17339255336.0,76413877024.0,6270940854.0,156311961176.0
