,CHỈ TIÊU,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022
0,Doanh số,122763662351.0,148024624990.0,133161667828.0,225024270843.0,210263122819.0,198508425135.0,88754243791.0,232277545132.0,186785201816.0,411249873028.0
1,Các khoản giảm trừ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Doanh số thuần,122763662351.0,148024624990.0,133161667828.0,225024270843.0,210263122819.0,198508425135.0,88754243791.0,232277545132.0,186785201816.0,411249873028.0
3,Giá vốn hàng bán,-114019187766.0,-128173089198.0,-115533372162.0,-226349369002.0,-197742338911.0,-190570618513.0,-71679107531.0,-226057954297.0,-167808326363.0,-393718271071.0
4,Lãi gộp,8744474585.0,19851535792.0,17628295666.0,-1325098159.0,12520783908.0,7937806622.0,17075136260.0,6219590835.0,18976875453.0,17531601957.0
5,Thu nhập tài chính,1288872158.0,1876435089.0,1211243821.0,1014708265.0,968708054.0,956552495.0,944437050.0,1044217700.0,1116797819.0,1012049330.0
6,Chi phí tài chính,-3602717346.0,-3739746732.0,-4213409746.0,-4486058024.0,-4400885059.0,-4264555996.0,-4599692382.0,-5947556262.0,-7689477346.0,-8220191699.0
7,Trong đó: Chi phí lãi vay,-3602717346.0,-3739746732.0,-4213409746.0,-4486058024.0,-4350919226.0,-4264555996.0,-4599692382.0,-5947556262.0,-7689477346.0,-8220191699.0
8,Lãi/(lỗ) từ công ty liên doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Chi phí bán hàng,0.0,0.0,0.0,17588371571.0,0.0,0.0,0.0,7500979057.0,4570929936.0,0.0
10,Chi phí quản lý doanh  nghiệp,-6268897879.0,-18821676045.0,-10809821270.0,-13502033236.0,-8951107978.0,-53181326.0,-12835911085.0,-8507905809.0,-15179186781.0,-8190899888.0
11,Lãi/(lỗ) từ hoạt động kinh doanh,161731518.0,-833451896.0,3816308471.0,-710109583.0,137498925.0,4576621795.0,583969843.0,309325521.0,1795939081.0,2132559700.0
12,Thu nhập khác,330140411.0,5427736652.0,1232068091.0,6000000.0,509679833.0,32872627.0,81314815.0,141003308.0,198296076.0,899906009.0
13,Chi phí khác,-264716251.0,-1073924298.0,-1582851227.0,230286943.0,-675698094.0,317445900.0,-30984639.0,-424068037.0,-802910778.0,-162856489.0
14,"Thu nhập khác, ròng",65424160.0,4353812354.0,-350783136.0,236286943.0,-166018261.0,350318527.0,50330176.0,-283064729.0,-604614702.0,737049520.0
16,Lãi/(lỗ) ròng trước thuế,227155678.0,3520360458.0,3465525335.0,-473822640.0,-28519336.0,4926940322.0,634300019.0,26260792.0,1191324379.0,2869609220.0
17,Thuế thu nhập doanh nghiệp – hiện thời,-204013132.0,-253331680.0,-583581455.0,-1349261799.0,109323726.0,-1049581959.0,-106372632.0,-195643046.0,-1278435144.0,-739616374.0
18,Thuế thu nhập doanh nghiệp – hoãn lại,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Chi phí thuế thu nhập doanh nghiệp,-204013132.0,-253331680.0,-583581455.0,-1349261799.0,109323726.0,-1049581959.0,-106372632.0,-195643046.0,-1278435144.0,-739616374.0
20,Lãi/(lỗ) thuần sau thuế,23142546.0,3267028778.0,2881943880.0,-1823084439.0,80804390.0,3877358363.0,527927387.0,-169382254.0,-87110765.0,2129992846.0
21,Lợi ích của cổ đông thiểu số,-403570805.0,1164884803.0,98883413.0,-78089655.0,103986928.0,0.0,497218879.0,-863184921.0,41669859.0,29633708.0
22,Lợi nhuận của Cổ đông của Công ty mẹ,426713351.0,2102143975.0,2783060467.0,-1744994784.0,-23182538.0,3877358363.0,30708508.0,693802667.0,-128780624.0,2100359138.0
23,Lãi cơ bản trên cổ phiếu,21.0,105.0,139.0,-87.0,-1.0,194.0,25.0,11.0,-6.0,97.0
24,Lãi trên cổ phiếu pha loãng,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0
