,Unnamed: 0,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,Lưu chuyển tiền thuần từ các hoạt động sản xuất kinh doanh,36601706087.0,39727378569.0,38700114950.0,27429825639.0,57802396947.0,31529967292.0,40411621323.0,45452244322.0,62456983379.0,37370656258.0
1,Lãi/lỗ trước những thay đổi vốn lưu động,33730586403.0,40504730143.0,46650976094.0,56064825685.0,59350256296.0,61155986002.0,65156305178.0,68410917366.0,61169822600.0,69830860548.0
2,Lãi trước thuế,21832289238.0,32013817862.0,36526664900.0,40117636261.0,43511100381.0,43851228982.0,44987135705.0,46214780071.0,39173694312.0,47789014871.0
3,Khấu hao TSCĐ,7489097956.0,9158291548.0,10665319269.0,13442130517.0,15480601289.0,15480284585.0,17730974089.0,20289807402.0,21696373231.0,21861477997.0
5,Chi phí dự phòng,6379007952.0,1709358672.0,1364531919.0,1196010672.0,806488138.0,1644242418.0,1528349511.0,1155538940.0,424095583.0,-310808087.0
6,Lãi/(lỗ) chênh lệch tỷ giá chưa thực hiện,0.0,0.0,0.0,0.0,0.0,-219467626.0,-17720829.0,91962650.0,168176876.0,487913535.0
8,Lãi/(lỗ) từ hoạt động đầu tư,-1984182635.0,-2420681763.0,-2080461975.0,-3094262.0,-1864156401.0,-1149871412.0,-1070573208.0,-763815753.0,-1313360785.0,-854486554.0
9,Chi phí lãi vay,14373892.0,43943824.0,174921981.0,1312142497.0,1416222889.0,1549569055.0,1998139910.0,1422644056.0,1020843383.0,857748786.0
11,Các khoản điều chỉnh khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,(Tăng)/giảm các khoản phải thu,-4011798265.0,-5441192369.0,-8682186681.0,-15837826471.0,-3366582284.0,-1604843261.0,-17841433736.0,-4838010233.0,12979720753.0,5319650075.0
13,(Tăng)/giảm hàng tồn kho,6378901793.0,-1150651712.0,1716397780.0,-530359978.0,-821463953.0,367455970.0,-587421696.0,2057014728.0,-799551036.0,-2210629790.0
14,Tăng/(giảm) các khoản phải trả,2783455047.0,14773339856.0,16765239833.0,8630662225.0,16215569009.0,-13550998338.0,10151104051.0,-7397331997.0,1750813681.0,-18208874005.0
15,( Tăng)/giảm chi phí trả trước,1044192501.0,121603389.0,-1580902876.0,-6844206180.0,2387371725.0,-1081557374.0,-1953541551.0,1887947054.0,811949988.0,-1950285090.0
16,(Tăng)/giảm chứng khoán kinh doanh,0.0,0.0,5157012.0,0.0,58800000.0,0.0,0.0,0.0,0.0,0.0
