,CHỈ TIÊU,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022
0,Doanh số,239157887213.0,791076585861.0,132238469726.0,500603610959.0,355755562951.0,1010409811092.0,412467036361.0,926301909291.0,325242293037.0,840910486334.0
1,Các khoản giảm trừ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Doanh số thuần,239157887213.0,791076585861.0,132238469726.0,500603610959.0,355755562951.0,1010409811092.0,412467036361.0,926301909291.0,325242293037.0,840910486334.0
3,Giá vốn hàng bán,-215481494062.0,-756269783783.0,-113175669241.0,-476587732412.0,-333074524578.0,-983458192810.0,-368390254356.0,-879812735109.0,-294500723346.0,-817042158280.0
4,Lãi gộp,23676393151.0,34806802078.0,19062800485.0,24015878547.0,22681038373.0,26951618282.0,44076782005.0,46489174182.0,30741569691.0,23868328054.0
5,Thu nhập tài chính,279379605.0,595363993.0,180726652.0,955520884.0,989907954.0,2946357000.0,1385415789.0,4743852270.0,4203294069.0,1691333813.0
6,Chi phí tài chính,-6769416290.0,-7315233029.0,-6542774405.0,-8573043157.0,-9738451836.0,-9125565967.0,-14469821020.0,-38145404548.0,-26079418080.0,-26629227763.0
7,Trong đó: Chi phí lãi vay,-3567344342.0,-5661010200.0,-6542837412.0,-8573193657.0,-9622903394.0,-12182082425.0,-14466385247.0,-38129680796.0,-25419474695.0,-18319751089.0
8,Lãi/(lỗ) từ công ty liên doanh,113028883.0,180219271.0,188667800.0,-179367192.0,5097066.0,583644499.0,4369268295.0,609202231.0,226392401.0,-325320354.0
9,Chi phí bán hàng,-4803806847.0,-251638529.0,-185250874.0,-137400814.0,-77247585.0,-239505822.0,-189659350.0,-212336085.0,-25288755.0,-23598418.0
10,Chi phí quản lý doanh  nghiệp,-12966452278.0,-17136600384.0,-11049639246.0,-13355047198.0,-12597406087.0,-16892999144.0,-32546568849.0,-8492292850.0,-15711537236.0,31692376097.0
11,Lãi/(lỗ) từ hoạt động kinh doanh,-470873776.0,10878913400.0,1654530412.0,2726541070.0,1262937885.0,4223548848.0,2625416870.0,4992195200.0,-6644987910.0,30273891429.0
12,Thu nhập khác,599527056.0,206065561.0,73069395.0,133226343.0,230544567.0,651163032.0,13531020.0,199373636.0,345564105.0,1252901821.0
13,Chi phí khác,-178924061.0,-142115981.0,-88022101.0,-294345141.0,-276400119.0,-737552802.0,-45482624.0,-264998141.0,-56329239.0,-3163732233.0
14,"Thu nhập khác, ròng",420602995.0,63949580.0,-14952706.0,-161118798.0,-45855552.0,-86389770.0,-31951604.0,-65624505.0,289234866.0,-1910830412.0
16,Lãi/(lỗ) ròng trước thuế,-50270781.0,10942862980.0,1639577706.0,2565422272.0,1217082333.0,4137159078.0,2593465266.0,4926570695.0,-6355753044.0,28363061017.0
17,Thuế thu nhập doanh nghiệp – hiện thời,-38512490.0,-840944933.0,-717651174.0,-5790902788.0,-1994502301.0,-3866046895.0,-578424237.0,-798568249.0,-11854016.0,-5901273803.0
18,Thuế thu nhập doanh nghiệp – hoãn lại,2179422485.0,2231171847.0,49979646.0,5869661593.0,1441071728.0,2711284349.0,-154750994.0,-510867638.0,-210574803.0,-258787925.0
19,Chi phí thuế thu nhập doanh nghiệp,2140909995.0,1390226914.0,-667671528.0,78758805.0,-553430573.0,-1154762546.0,-733175231.0,-1309435887.0,-222428819.0,-6160061728.0
20,Lãi/(lỗ) thuần sau thuế,2090639214.0,12333089894.0,971906178.0,2644181077.0,663651760.0,2982396532.0,1860290035.0,3617134808.0,-6578181863.0,22202999289.0
21,Lợi ích của cổ đông thiểu số,-53264908.0,3201769562.0,106534503.0,398474983.0,-176865792.0,1279891749.0,-761065404.0,-335846006.0,-1497599418.0,-1779162272.0
22,Lợi nhuận của Cổ đông của Công ty mẹ,2143904122.0,9131320332.0,865371675.0,2245706094.0,840517552.0,1702504783.0,2621355439.0,3952980814.0,-5080582445.0,23982161561.0
23,Lãi cơ bản trên cổ phiếu,26.0,111.0,11.0,27.0,10.0,21.0,32.0,48.0,-62.0,293.0
24,Lãi trên cổ phiếu pha loãng,26.0,111.0,11.0,27.0,10.0,21.0,32.0,48.0,-62.0,293.0
