,CHỈ TIÊU,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,TỔNG TÀI SẢN,22875414056636.0,25770138060957.0,27478175944352.0,29378656325464.0,34667318837497.0,37366108654179.0,44699873386034.0,48432480673629.0,53332403438219.0,48482664236220.0
1,TÀI SẢN NGẮN HẠN,13018930127438.0,15457989802876.0,16731875433624.0,18673827685789.0,20307434789529.0,20559756794837.0,24721565376552.0,29665725805058.0,36109910649785.0,31560382174201.0
2,Tiền và tương đương tiền,2745645325950.0,1527875428216.0,1358682600684.0,655423095436.0,963335914164.0,1522610167671.0,2665194638452.0,2111242815581.0,2348551874348.0,2299943527624.0
3,Tiền,1394534283673.0,993333794600.0,1212517600684.0,599923095436.0,834435914164.0,1072610167671.0,2378583764655.0,863853260384.0,1187350251579.0,1327429518437.0
4,Các khoản tương đương tiền,1351111042277.0,534541633616.0,146165000000.0,55500000000.0,128900000000.0,450000000000.0,286610873797.0,1247389555197.0,1161201622769.0,972514009187.0
5,Giá trị thuần đầu tư ngắn hạn,4167317622318.0,7469006501322.0,8668377936330.0,10453749313471.0,10561714377337.0,8673926951890.0,12435744328964.0,17313679774893.0,21025735779475.0,17414055328683.0
6,Đầu tư ngắn hạn,4313292575718.0,704814872722.0,525980876577.0,443132521486.0,443130811523.0,443154262451.0,1153041048.0,1124178861.0,1119781812.0,1159355253.0
7,Dự phòng đầu tư ngắn hạn,-145974953400.0,-139208371400.0,-72195440247.0,-500629886.0,-675708019.0,-605728258.0,-840586787.0,-936520806.0,-666201430.0,-689745197.0
8,Chứng khoán đầu tư giữ đến ngày đáo hạn,0.0,6903400000000.0,8214592500000.0,10011117421871.0,10119259273833.0,8231378417697.0,12435431874703.0,17313492116838.0,21025282199093.0,17413585718627.0
9,Các khoản phải thu,2728421414532.0,2777099430909.0,2685469151432.0,2866683958798.0,4591702853157.0,4639447900101.0,4503154728959.0,5187253172150.0,5822028742791.0,6100402870854.0
10,Phải thu khách hàng,1894721027784.0,1988614362323.0,2202396055303.0,2191348458582.0,3613981838047.0,3380017354930.0,3474498518959.0,4173563213813.0,4367766482060.0,4633942510271.0
11,Trả trước người bán,423820755014.0,420615080215.0,126289719352.0,288808403942.0,622978664875.0,876158254325.0,576013061394.0,546236562342.0,655822646219.0,589439884812.0
12,Phải thu nội bộ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Phải thu về XDCB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Phải thu về cho vay ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,31170336327.0,150000000.0,0.0,0.0
15,Phải thu khác,417266719643.0,370036643588.0,359995340900.0,390619273181.0,367850643578.0,394535471938.0,438267517904.0,483737475103.0,810697107773.0,890466200571.0
16,Dự phòng nợ khó đòi,-7387087909.0,-5917834434.0,-3211964123.0,-4168573420.0,-13193973536.0,-11263181092.0,-16794705625.0,-16434079108.0,-12257493261.0,-13445724800.0
17,Tài sản thiếu chờ xử lý,0.0,3751179217.0,0.0,76396513.0,85680193.0,0.0,0.0,0.0,0.0,0.0
18,"Hàng tồn kho, ròng",3217483048888.0,3554823963018.0,3810095215771.0,4521766382352.0,4021058976634.0,5525845959354.0,4983044403917.0,4905068613616.0,6773071634017.0,5537563396117.0
19,Hàng tồn kho,3227859954432.0,3567948334861.0,3827369319952.0,4538439873598.0,4041302638611.0,5538304348980.0,4996114799978.0,4952848688011.0,6820486391670.0,5560169453504.0
20,Dự phòng giảm giá HTK,-10376905544.0,-13124371843.0,-17274104181.0,-16673491246.0,-20243661977.0,-12458389626.0,-13070396061.0,-47780074395.0,-47414757653.0,-22606057387.0
21,Tài sản lưu động khác,160062715750.0,129184479411.0,209250529407.0,176204935732.0,169622668237.0,197925815821.0,134427276260.0,148481428818.0,140522619154.0,208417050923.0
22,Trả trước ngắn hạn,129708362747.0,115703239463.0,156056494506.0,59288353847.0,51933181113.0,54821120257.0,68634341838.0,57414707597.0,57272673101.0,97570693043.0
23,Thuế VAT phải thu,25468115542.0,13465035833.0,53192367873.0,116835557323.0,117132711139.0,142642380500.0,60875991566.0,37158670216.0,79012114725.0,89204099539.0
24,Phải thu thuế khác,0.0,16204115.0,1667028.0,81024562.0,556775985.0,462315064.0,0.0,53908051005.0,4237831328.0,21642258341.0
25,Giao dịch mua bán lại trái phiếu chính phủ,0.0,0.0,0.0,0.0,0.0,0.0,4916942856.0,0.0,0.0,0.0
26,Tài sản lưu động khác,4886237461.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,TÀI SẢN DÀI HẠN,9856483929198.0,10312148258081.0,10746300510728.0,10704828639675.0,14359884047968.0,16806351859342.0,19978308009482.0,18766754868571.0,17222492788434.0,16922282062019.0
28,Phải thu dài hạn,736666667.0,21965907697.0,20898388770.0,21855008176.0,53774889824.0,88443241642.0,21169968995.0,19974111715.0,16695104495.0,38422722715.0
29,Phải thu khách hàng dài hạn,0.0,0.0,0.0,0.0,29973948684.0,67658410631.0,0.0,0.0,0.0,0.0
30,Trả trước người bán dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,Vốn kinh doanh ở các đơn vị trực thuộc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,Phải thu nội bộ dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,Phải thu về cho vay dài hạn,0.0,7395303671.0,5573700349.0,7245908762.0,5373558222.0,3143509548.0,545312000.0,0.0,0.0,0.0
34,Phải thu dài hạn khác,736666667.0,14570604026.0,15324688421.0,14609099414.0,18427382918.0,17641321463.0,20624656995.0,19974111715.0,16695104495.0,38422722715.0
35,Dự phòng phải thu dài hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,Tài sản cố định,8918416535379.0,8086395812459.0,8214134749497.0,8321053086713.0,10609309098847.0,13365353599098.0,14893540216703.0,13853807867036.0,12706598557849.0,11903207642940.0
37,GTCL TSCĐ hữu hình,7849058771126.0,7548188780138.0,7795345501520.0,7916322992944.0,10290516618864.0,13047771431436.0,13743909618601.0,12717306878414.0,11620094589519.0,10860366507422.0
38,Nguyên giá TSCĐ hữu hình,11147267493199.0,11782649084362.0,13059721039709.0,14257738667127.0,18917435800484.0,22952360450312.0,26227436154249.0,27037635338368.0,27645343065556.0,28502157270867.0
39,Khấu hao lũy kế TSCĐ hữu hình,-3298208722073.0,-4234460304224.0,-5264375538189.0,-6341415674183.0,-8626919181620.0,-9904589018876.0,-12483526535648.0,-14320328459954.0,-16025248476037.0,-17641790763445.0
40,GTCL Tài sản thuê tài chính,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,Nguyên giá tài sản thuê tài chính,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,Khấu hao lũy kế tài sản thuê tài chính,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,GTCL tài sản cố định vô hình,531485413625.0,538207032321.0,418789247977.0,404730093769.0,318792479983.0,317582167662.0,1149630598102.0,1136500988622.0,1086503968330.0,1042841135518.0
44,Nguyên giá TSCĐ vô hình,690742242273.0,691495740057.0,553684246456.0,557891027713.0,469549338561.0,475569436392.0,1297664982735.0,1338628984267.0,1341664803067.0,1353423614905.0
45,Khấu hao lũy kế TSCĐ vô hình,-159256828648.0,-153288707736.0,-134894998479.0,-153160933944.0,-150756858578.0,-157987268730.0,-148034384633.0,-202127995645.0,-255160834737.0,-310582479387.0
46,Bất động sản đầu tư,149445717001.0,147725868615.0,142368204632.0,136973382326.0,95273270528.0,90248200759.0,62018116736.0,59996974041.0,60049893676.0,57593807783.0
47,Nguyên giá tài sản đầu tư,176332062888.0,179594679077.0,179678050557.0,179678050557.0,143340838168.0,147320450623.0,81481271444.0,81481271444.0,98822678885.0,98822678885.0
48,Khấu hao lũy kế tài sản đầu tư,-26886345887.0,-31868810462.0,-37309845925.0,-42704668231.0,-48067567640.0,-57072249864.0,-19463154708.0,-21484297403.0,-38772785209.0,-41228871102.0
49,Tài sản dở dang dài hạn,0.0,889715794757.0,843679104973.0,993111642018.0,1928569256697.0,868245878253.0,943845551903.0,1062633519957.0,1130023695910.0,1805129940386.0
50,"Chi phí sản xuất, kinh doanh dở dang dài hạn",0.0,65283282436.0,82393992187.0,127671589409.0,181678288317.0,214398200249.0,249633893396.0,268812038616.0,295204758395.0,334547387349.0
52,Đầu tư dài hạn,318308294039.0,671339515656.0,940365020223.0,613806560199.0,555497854952.0,1068660695119.0,986676290429.0,973440912476.0,743862023831.0,742670306431.0
53,Đầu tư vào các công ty con,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,Đầu tư vào công ty liên doanh,284629299345.0,317972437657.0,397130670931.0,419909385728.0,481282722569.0,497498739617.0,688112587059.0,686485729063.0,661023754422.0,664302778018.0
55,Đầu tư dài hạn khác,43927626956.0,11628368600.0,11378476240.0,11387476240.0,82336523394.0,72083527154.0,104537010212.0,101924299081.0,101921059081.0,101950219081.0
56,Dự phòng giảm giá đầu tư dài hạn,-10248632262.0,-4857290601.0,-4740126948.0,-7490301769.0,-8121391011.0,-921571652.0,-5973306842.0,-14969115668.0,-19082789672.0,-23582690668.0
57,Đầu tư nắm giữ đến ngày đáo hạn,0.0,346596000000.0,536596000000.0,190000000000.0,0.0,500000000000.0,200000000000.0,200000000000.0,0.0,0.0
58,Tài sản dài hạn khác,295112796930.0,495005358897.0,584855042633.0,618028960243.0,1117459677120.0,1325400244471.0,3071057864716.0,2796901483346.0,2565263512673.0,2375257641764.0
59,Trả trước dài hạn,171151838315.0,183505250834.0,417329840261.0,459395057029.0,612134810005.0,750599476304.0,678630479869.0,713499307014.0,725108101375.0,772804663141.0
60,Thuế thu nhập hoãn lại phải thu,115300622640.0,150793168409.0,25180187314.0,34650812752.0,30394768880.0,36460665848.0,26367280852.0,24854170720.0,27147520911.0,34985203461.0
61,"Thiết bị, vật tư, phụ tùng thay thế dài hạn",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,Các tài sản dài hạn khác,8660335975.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,NỢ PHẢI TRẢ,5307060807329.0,5969901577449.0,6554260196767.0,6972707036879.0,10794261023636.0,11094739362252.0,14968618181670.0,14785358443807.0,17482289188835.0,15666145881135.0
65,Nợ ngắn hạn,4956397594108.0,5453280356023.0,6004316835213.0,6457497982894.0,10195562827092.0,10639592009462.0,14442851833360.0,14212646285475.0,17068416995519.0,15308423081524.0
66,Phải trả người bán,1968257136188.0,1898529392924.0,2193602809261.0,2561910262979.0,3965691123157.0,3991064706111.0,3648445576699.0,3199186016787.0,4213887652294.0,4284158390163.0
67,Người mua trả tiền trước,20929404542.0,17826386435.0,19882391510.0,35951866026.0,360182469422.0,535552943437.0,245247666160.0,111159982412.0,66036392886.0,161708567120.0
68,Thuế và các khoản phải trả Nhà nước,456725904986.0,502643076304.0,215807811014.0,255510130860.0,383314082997.0,341669047623.0,619393665850.0,659550222596.0,648146741635.0,598135128295.0
69,Phải trả người lao động,137540107294.0,163476907176.0,452476117228.0,192349429102.0,205722836953.0,215270553609.0,239520745753.0,279673306451.0,304671997074.0,287914221269.0
70,Chi phí phải trả,490760970004.0,632991337019.0,593485587927.0,1025974683705.0,1528287945458.0,1437232532734.0,1738321908844.0,1910213748076.0,1817263017920.0,1620874538443.0
71,Phải trả nội bộ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,Phải trả về xây dựng cơ bản,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,Doanh thu chưa thực hiện ngắn hạn,0.0,17424992.0,1350893817.0,3360079979.0,7344630678.0,6910881322.0,2111168658.0,15927234779.0,3983400698.0,4161405120.0
74,Phải trả khác,1341762807045.0,598428618781.0,644468337067.0,592099957922.0,2783824177984.0,2540327951932.0,1956364398828.0,145835054429.0,114417067658.0,3055541590234.0
75,Vay ngắn hạn,178943692147.0,1279525014840.0,1475358507208.0,1332666200200.0,268102046087.0,1060047652329.0,5351461260191.0,7316497078307.0,9382354118118.0,4867129839103.0
