,CHỈ TIÊU,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,Lưu chuyển tiền thuần từ các hoạt động sản xuất kinh doanh,-14932370000000.0,5133142000000.0,1178387000000.0,-6423441000000.0,9215782000000.0,8686319000000.0,-3167365000000.0,1319553000000.0,5115790000000.0,692537000000.0
1,Lưu chuyển tiền thuần từ hoạt động kinh doanh trước thuế thu nhập DN,-14932343000000.0,5133142000000.0,1178387000000.0,-6423441000000.0,9215782000000.0,8686319000000.0,-3167365000000.0,1319553000000.0,5115790000000.0,692537000000.0
2,Lãi/lỗ trước những thay đổi vốn lưu động,2602286000000.0,1204344000000.0,7156848000000.0,9959202000000.0,16996400000000.0,18384963000000.0,23164320000000.0,25933405000000.0,29265887000000.0,37544371000000.0
3,Thu nhập lãi và các khoản tương đương,10754497000000.0,11436872000000.0,18535899000000.0,25501896000000.0,34490849000000.0,39792502000000.0,48403838000000.0,53402880000000.0,51437624000000.0,60431597000000.0
4,Chi phí lãi và các khoản tương đương,-6277347000000.0,-7182728000000.0,-7536405000000.0,-10039057000000.0,-11637208000000.0,-15399517000000.0,-16615034000000.0,-21506426000000.0,-17391684000000.0,-18788241000000.0
5,Thu nhập từ hoạt động dịch vụ nhận được,603760000000.0,606685000000.0,891088000000.0,850669000000.0,1479101000000.0,1511310000000.0,2736292000000.0,3317656000000.0,3802613000000.0,6183410000000.0
7,Thu nhập từ hoạt động kinh doanh chứng khoán,275669000000.0,460742000000.0,-34896000000.0,0.0,0.0,0.0,0.0,0.0,0.0,-519558000000.0
8,Thu nhập khác,103463000000.0,-7189000000.0,620946000000.0,476319000000.0,1230931000000.0,2589855000000.0,141417000000.0,90068000000.0,-481781000000.0,6808756000000.0
10,Thanh toán cho nhân viên và nhà cung cấp,-2573758000000.0,-3427249000000.0,-5065782000000.0,-6479434000000.0,-8560105000000.0,-10616997000000.0,-11806924000000.0,-10862595000000.0,-10638063000000.0,-13872589000000.0
11,Tiền chi nộp thuế thu nhập doanh nghiệp,-188744000000.0,-502603000000.0,-505521000000.0,-795175000000.0,-1501672000000.0,-1810679000000.0,-2265251000000.0,-1923141000000.0,-3581137000000.0,-6445272000000.0
12,Tiền gửi tại NHNN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,(Tăng)/Giảm các khoản tiền gửi và cho vay các tổ chức tín dụng khác,797025000000.0,-1747926000000.0,5792760000000.0,570201000000.0,2998424000000.0,1068172000000.0,-3380704000000.0,-1111216000000.0,-11132261000000.0,9644430000000.0
14,(Tăng)/giảm các khoản về kinh doanh chứng khoán,-12929880000000.0,-9354176000000.0,-22989000000.0,-8889714000000.0,2689025000000.0,-2149369000000.0,-16390678000000.0,-6855085000000.0,-5492319000000.0,-7099610000000.0
15,(Tăng)/Giảm các công cụ tài chính phái sinh và các tài sản tài chính khác,57471000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-103299000000.0,103299000000.0
16,(Tăng)/Giảm các khoản cho vay khách hàng,-16207513000000.0,-28530673000000.0,-39866419000000.0,-27641819000000.0,-37795799000000.0,-38593215000000.0,-31652443000000.0,-33892359000000.0,-65208817000000.0,-83012963000000.0
17,"(Tăng)/Giảm lãi, phí phải thu",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,Tăng/(Giảm) nguồn dự phòng để bù đắp tổn thất các khoản,-251824000000.0,-707090000000.0,-2024786000000.0,-4882929000000.0,-6784262000000.0,-10676250000000.0,-14369777000000.0,-14206788000000.0,-13698651000000.0,-18737489000000.0
19,(Tăng)/Giảm khác về tài sản hoạt động,-3179093000000.0,3641010000000.0,2616599000000.0,-390722000000.0,-3169515000000.0,-2396348000000.0,-7036989000000.0,-351707000000.0,-21505383000000.0,-2608156000000.0
20,Tăng/(Giảm) các khoản nợ chính phủ và NHNN,513885000000.0,-1052902000000.0,3988508000000.0,-3717377000000.0,-1077671000000.0,3755329000000.0,-3761851000000.0,-5272000000.0,8440155000000.0,-6525142000000.0
21,Tăng/(Giảm) các khoản tiền gửi và vay các TCTD khác,-12521665000000.0,13094197000000.0,-8463820000000.0,8114707000000.0,4364520000000.0,16167602000000.0,-3363462000000.0,5643293000000.0,58107824000000.0,25630010000000.0
22,Tăng/(Giảm) tiền gửi của khách hàng,24329639000000.0,24481553000000.0,21837894000000.0,-6483098000000.0,9763386000000.0,37300059000000.0,43098697000000.0,19478385000000.0,8409075000000.0,61314389000000.0
23,Tăng/(Giảm) các công cụ tài chính phái sinh và các khoản nợ tài chính khác,334655000000.0,164482000000.0,-83573000000.0,59565000000.0,-30856000000.0,-141898000000.0,27100000000.0,94155000000.0,-139825000000.0,15369000000.0
24,"Tăng/(Giảm) vốn tài trợ, uỷ thác đầu tư của chính phủ và các TCTD khác",-803000000.0,61509000000.0,257942000000.0,1006598000000.0,2509578000000.0,872000000.0,-37826000000.0,-104667000000.0,-83226000000.0,-56880000000.0
25,Tăng/(Giảm) phát hành giấy tờ có giá,50851000000.0,4808789000000.0,11530397000000.0,23913626000000.0,17454078000000.0,-14946570000000.0,11556687000000.0,5245765000000.0,18712105000000.0,-17595659000000.0
26,"Tăng/(Giảm) lãi, phí phải trả",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
