,CHỈ TIÊU,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,Doanh số,23498007507.0,32557100783.0,87854661270.0,47540182780.0,56384570757.0,60776285362.0,69692174379.0,39673895771.0,41028770342.0
1,Các khoản giảm trừ,0.0,-5460000.0,0.0,-2160000.0,-1590000.0,0.0,0.0,0.0,-7030000.0
2,Doanh số thuần,23498007507.0,32551640783.0,87854661270.0,47538022780.0,56382980757.0,60776285362.0,69692174379.0,39673895771.0,41021740342.0
3,Giá vốn hàng bán,-17466472379.0,-24599082598.0,-53689457031.0,-39591479790.0,-48442689222.0,-49470428915.0,-54994738681.0,-24609418810.0,-24609691355.0
4,Lãi gộp,6031535128.0,7952558185.0,34165204239.0,7946542990.0,7940291535.0,11305856447.0,14697435698.0,15064476961.0,16412048987.0
5,Thu nhập tài chính,231748668.0,452750724.0,754555466.0,1575131260.0,1607667271.0,306208112.0,179948822.0,10232265686.0,21730339330.0
6,Chi phí tài chính,0.0,-950000.0,-185509657.0,-204185765.0,-422808321.0,-1713342354.0,-4385205734.0,-3464464003.0,-26320952007.0
7,Trong đó: Chi phí lãi vay,0.0,0.0,-185509657.0,-194505577.0,-402209185.0,-1706711018.0,-4382746882.0,-3425129109.0,-22243094522.0
8,Lãi/(lỗ) từ công ty liên doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Chi phí bán hàng,-751062726.0,-1568965011.0,-2007010851.0,-2012991975.0,-2126990910.0,-1649889759.0,-797834501.0,-208469127.0,-178480000.0
10,Chi phí quản lý doanh  nghiệp,-2137881487.0,-2866867490.0,-3508447438.0,-3622114923.0,-4064239920.0,-4240195625.0,-3561732725.0,-3230666548.0,-2833404950.0
11,Lãi/(lỗ) từ hoạt động kinh doanh,3374339583.0,3968526408.0,29218791759.0,3682381587.0,2933919655.0,4008636821.0,6132611560.0,18393142969.0,8809551360.0
12,Thu nhập khác,179372388.0,169168835.0,165234724.0,146626939.0,92407870.0,364777827.0,1081459002.0,621923565.0,117078272.0
13,Chi phí khác,-26421744.0,-119525894.0,-260745036.0,-404934499.0,-90781886.0,-239743835.0,-58980225.0,-98639098.0,-536043596.0
14,"Thu nhập khác, ròng",152950644.0,49642941.0,-95510312.0,-258307560.0,1625984.0,125033992.0,1022478777.0,523284467.0,-418965324.0
16,Lãi/(lỗ) ròng trước thuế,3527290227.0,4018169349.0,29123281447.0,3424074027.0,2935545639.0,4133670813.0,7155090337.0,18916427436.0,8390586036.0
17,Thuế thu nhập doanh nghiệp – hiện thời,0.0,-61056963.0,-5971851178.0,-813201079.0,-610244520.0,-788492662.0,-1042436710.0,-2792010439.0,-4112761431.0
18,Thuế thu nhập doanh nghiệp – hoãn lại,140000000.0,-734000000.0,91961909.0,-1451000.0,0.0,-128225977.0,0.0,0.0,2325505082.0
19,Chi phí thuế thu nhập doanh nghiệp,140000000.0,-795056963.0,-5879889269.0,-814652079.0,-610244520.0,-916718639.0,-1042436710.0,-2792010439.0,-1787256349.0
20,Lãi/(lỗ) thuần sau thuế,3667290227.0,3223112386.0,23243392178.0,2609421948.0,2325301119.0,3216952174.0,6112653627.0,16124416997.0,6603329687.0
21,Lợi ích của cổ đông thiểu số,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,Lợi nhuận của Cổ đông của Công ty mẹ,3667290227.0,3223112386.0,23243392178.0,2609421948.0,2325301119.0,3216952174.0,6112653627.0,16124416997.0,6603329687.0
23,Lãi cơ bản trên cổ phiếu,1033.0,957.0,7264.0,627.0,559.0,773.0,1336.0,3524.0,1443.0
24,Lãi trên cổ phiếu pha loãng,0.0,0.0,7264.0,627.0,559.0,773.0,1336.0,3524.0,1443.0
