,CHỈ TIÊU,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022
0,Doanh số,428963773612.0,458571592590.0,435363723104.0,476612394327.0,473629781744.0,506525162197.0,469279040165.0,511587638353.0,507324597115.0,519882591930.0
1,Các khoản giảm trừ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Doanh số thuần,428963773612.0,458571592590.0,435363723104.0,476612394327.0,473629781744.0,506525162197.0,469279040165.0,511587638353.0,507324597115.0,519882591930.0
3,Giá vốn hàng bán,-319184396028.0,-324216719101.0,-316583790490.0,-323747433275.0,-307114046566.0,-342296919042.0,-307013131022.0,-333865018594.0,-341863055799.0,-367471564707.0
4,Lãi gộp,109779377584.0,134354873489.0,118779932614.0,152864961052.0,166515735178.0,164228243155.0,162265909143.0,177722619759.0,165461541316.0,152411027223.0
5,Thu nhập tài chính,3355937580.0,2940866518.0,2584894625.0,3332378811.0,3529526132.0,3568526397.0,8025975338.0,7546426581.0,7244869703.0,11783602740.0
6,Chi phí tài chính,-235373740.0,-519994313.0,-249577672.0,-429315721.0,-277483000.0,-1021583318.0,-83737472.0,-493235227.0,-18158102.0,-4424689078.0
7,Trong đó: Chi phí lãi vay,-88941975.0,-43379185.0,-159205941.0,159205941.0,0.0,0.0,0.0,0.0,0.0,-1104887671.0
8,Lãi/(lỗ) từ công ty liên doanh,0.0,161250000.0,0.0,2478457478.0,0.0,1962804890.0,0.0,-9144455716.0,4161200000.0,-10578128070.0
9,Chi phí bán hàng,-12231784988.0,-15696317595.0,-15631864303.0,-18253599654.0,-13114977029.0,-1234652954.0,-18963163340.0,-14223580346.0,-25999157553.0,-20008077367.0
10,Chi phí quản lý doanh  nghiệp,-16980806030.0,-29030871209.0,-17095836248.0,-18265888576.0,-17581251591.0,-28261331798.0,-22127100618.0,-21271733082.0,-28949199945.0,-33073522920.0
11,Lãi/(lỗ) từ hoạt động kinh doanh,83687350406.0,92209806890.0,88387549016.0,121726993390.0,139071549690.0,139242006372.0,129117883051.0,140136041969.0,121901095419.0,96110212528.0
12,Thu nhập khác,2798527227.0,2658569622.0,1332349465.0,406020567.0,10285197798.0,1352525819.0,983323376.0,-77243134.0,6704856036.0,-6844150708.0
13,Chi phí khác,-369078249.0,-331738888.0,-912550060.0,-2572682497.0,-25000000.0,-15602611450.0,-681137279.0,-735874460.0,-8891032550.0,2451297814.0
14,"Thu nhập khác, ròng",2429448978.0,2326830734.0,419799405.0,-2166661930.0,10260197798.0,-14250085631.0,302186097.0,-813117594.0,-2186176514.0,-4392852894.0
16,Lãi/(lỗ) ròng trước thuế,86116799384.0,94536637624.0,88807348421.0,119560331460.0,149331747488.0,124991920741.0,129420069148.0,139322924375.0,119714918905.0,91717359634.0
17,Thuế thu nhập doanh nghiệp – hiện thời,-7838583909.0,-17136326591.0,-11955801717.0,-15709855589.0,-22576267918.0,-18520347760.0,-19897278164.0,-25988274540.0,-19339210206.0,-18743790725.0
18,Thuế thu nhập doanh nghiệp – hoãn lại,0.0,-37454709.0,0.0,-64759444.0,0.0,-62822134.0,0.0,-50076920.0,157759831.0,245027266.0
19,Chi phí thuế thu nhập doanh nghiệp,-7838583909.0,-17173781300.0,-11955801717.0,-15774615033.0,-22576267918.0,-18583169894.0,-19897278164.0,-26038351460.0,-19181450375.0,-18498763459.0
20,Lãi/(lỗ) thuần sau thuế,78278215475.0,77362856324.0,76851546704.0,103785716427.0,126755479570.0,106408750847.0,109522790984.0,113284572915.0,100533468530.0,73218596175.0
21,Lợi ích của cổ đông thiểu số,13841639415.0,13700282038.0,13397470133.0,17771318396.0,17860301210.0,14828759355.0,19379272091.0,19623573502.0,20064227135.0,19779035208.0
22,Lợi nhuận của Cổ đông của Công ty mẹ,64436576060.0,63662574286.0,63454076571.0,86014398031.0,108895178360.0,91579991492.0,90143518893.0,93660999413.0,80469241395.0,53439560967.0
23,Lãi cơ bản trên cổ phiếu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,Lãi trên cổ phiếu pha loãng,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
