,Unnamed: 0,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022
0,Lưu chuyển tiền thuần từ các hoạt động sản xuất kinh doanh,28922725521.0,-5985126969.0,3753662427.0,8787719933.0,23762148496.0,-18955179206.0,10152505681.0,10112762268.0,-21001435744.0,39020933363.0
21,Lưu chuyển tiền tệ ròng từ hoạt động đầu tư,148585979.0,-947238579.0,139063762.0,33924876710.0,37547208111.0,1348040539.0,-93094785.0,981905991.0,345344993.0,893590661.0
22,Tiền mua tài sản cố định và các tài sản dài hạn khác,-312752000.0,-1574956490.0,-42382235.0,21432987.0,0.0,-5000000.0,-545271631.0,404356311.0,-4929205.0,-9413055.0
23,Tiền thu được từ thanh lý tài sản cố định,109000000.0,100000000.0,0.0,0.0,0.0,229818182.0,0.0,0.0,3490000.0,0.0
24,Tiền cho vay hoặc mua công cụ nợ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,Tiền thu từ cho vay hoặc thu từ phát hành công cụ nợ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,Đầu tư vào các doanh nghiệp khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,Tiền thu từ việc bán các khoản đầu tư vào các doanh nghiệp khác,0.0,0.0,0.0,33550000000.0,37066372050.0,0.0,0.0,0.0,0.0,0.0
28,Cổ tức và tiền lãi nhận được,352337979.0,527717911.0,181445997.0,353443723.0,480836061.0,1123222357.0,452176846.0,577549680.0,346784198.0,903003716.0
29,Lưu chuyển tiền tệ từ hoạt động tài chính,-7135595696.0,8083037587.0,-11528204136.0,-20206326081.0,-8146073863.0,-16829671910.0,-3143696051.0,-36287143679.0,15268032321.0,-40999555277.0
30,Tiền thu từ phát hành cổ phiếu và vốn góp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,"Chi trả cho việc mua lại, trả lại cổ phiếu",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,Tiền thu được các khoản đi vay,4926699993.0,34551876452.0,3741337064.0,9363968169.0,0.0,13185937603.0,7137225779.0,0.0,21127598471.0,9728824730.0
33,Tiển trả các khoản đi vay,-11957843189.0,-26442870615.0,-15269541200.0,-12975028615.0,-8022383363.0,-11894119523.0,-10095910080.0,-10173271779.0,-5738046000.0,-37892030957.0
34,Tiền thanh toán vốn gốc đi thuê tài chính,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,Cổ tức đã trả,-104452500.0,-25968250.0,0.0,-16595265635.0,-123690500.0,-18121489990.0,-185011750.0,-26113871900.0,-121520150.0,-12836349050.0
37,Lưu chuyển tiền thuần trong kỳ,21935715804.0,1150672039.0,-7635477947.0,22506270562.0,53163282744.0,-34436810577.0,6915714845.0,-25192475420.0,-5388058430.0,-1085031253.0
38,Tiền và tương đương tiền đầu kỳ,28535719644.0,50585014394.0,51841712958.0,44205354642.0,66617862526.0,119777044476.0,85339852634.0,92256454309.0,67070560905.0,61695597467.0
39,Ảnh hưởng của chênh lệch tỷ giá,113578946.0,106026525.0,-880369.0,-1032221.0,-4100794.0,-381265.0,886830.0,6582016.0,13094992.0,-6843678.0
40,Tiền và tương đương tiền cuối kỳ,50585014394.0,51841712958.0,44205354642.0,66710592983.0,119777044476.0,85339852634.0,92256454309.0,67070560905.0,61695597467.0,60603722536.0
