,CHỈ TIÊU,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022
0,Doanh số,0.0,0.0,5322909681.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Các khoản giảm trừ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Doanh số thuần,0.0,0.0,5322909681.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Giá vốn hàng bán,0.0,0.0,-3747031719.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Lãi gộp,0.0,0.0,1575877962.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Thu nhập tài chính,412337107.0,543143303.0,2806945146.0,787162662.0,942775772.0,1699805172.0,764243048.0,316519319.0,3683125923.0,882096296.0
6,Chi phí tài chính,0.0,-1318452640.0,424100000.0,324000000.0,-28013699.0,-3522746399.0,-219512999.0,210822588.0,-70635618.0,-1492225515.0
7,Trong đó: Chi phí lãi vay,0.0,0.0,0.0,0.0,-23013699.0,-100821918.0,-155178082.0,0.0,-61150685.0,39178083.0
8,Lãi/(lỗ) từ công ty liên doanh,-7616675.0,-23459022993.0,-1647653.0,-3900229014.0,0.0,0.0,0.0,-459831793.0,0.0,0.0
9,Chi phí bán hàng,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,Chi phí quản lý doanh  nghiệp,-469206135.0,-414730964.0,-204095595.0,-267451552.0,-268687975.0,-199525532.0,-224489373.0,-187499196.0,-164037757.0,-165885919.0
11,Lãi/(lỗ) từ hoạt động kinh doanh,-64485703.0,-24649063294.0,4601179860.0,-3056517904.0,646074098.0,-2022466759.0,320240676.0,-119989082.0,3448452548.0,-776015138.0
12,Thu nhập khác,658181819.0,1074646644.0,0.0,0.0,0.0,90181126.0,121.0,0.0,300000.0,0.0
13,Chi phí khác,-770164541.0,461538142.0,-15000.0,-6000.0,0.0,0.0,-30.0,0.0,0.0,-657900.0
14,"Thu nhập khác, ròng",-111982722.0,1536184786.0,-15000.0,-6000.0,0.0,90181126.0,91.0,0.0,300000.0,-657900.0
16,Lãi/(lỗ) ròng trước thuế,-176468425.0,-23112878508.0,4601164860.0,-3056523904.0,646074098.0,-1932285633.0,320240767.0,-119989082.0,3448752548.0,-776673038.0
17,Thuế thu nhập doanh nghiệp – hiện thời,0.0,0.0,0.0,-405356748.0,0.0,0.0,0.0,-243778426.0,0.0,0.0
18,Thuế thu nhập doanh nghiệp – hoãn lại,107007687.0,-6039597367.0,0.0,-789776400.0,0.0,0.0,0.0,111761730.0,0.0,-61162634.0
19,Chi phí thuế thu nhập doanh nghiệp,107007687.0,-6039597367.0,0.0,-1195133148.0,0.0,0.0,0.0,-132016696.0,0.0,-61162634.0
20,Lãi/(lỗ) thuần sau thuế,-69460738.0,-29152475875.0,4601164860.0,-4251657052.0,646074098.0,-1932285633.0,320240767.0,-252005778.0,3448752548.0,-837835672.0
21,Lợi ích của cổ đông thiểu số,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,Lợi nhuận của Cổ đông của Công ty mẹ,-69460738.0,-29152475875.0,4601164860.0,-4251657052.0,646074098.0,-1932285633.0,320240767.0,-252005778.0,3448752548.0,-837835672.0
23,Lãi cơ bản trên cổ phiếu,-6.09,-2557.0,404.0,-373.0,57.0,-169.0,28.0,-22.0,303.0,-73.0
24,Lãi trên cổ phiếu pha loãng,-6.09,-2557.0,404.0,-373.0,57.0,-169.0,28.0,-22.0,303.0,-73.0
