,CHỈ TIÊU,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,TỔNG TÀI SẢN,109310174792.0,158432218841.0,195236804251.0,234940007296.0,283288715382.0,328370060259.0,287226564561.0,195388578657.0,185753796458.0,217600588007.0
1,TÀI SẢN NGẮN HẠN,49492239981.0,122547218766.0,164531399389.0,216615626031.0,263095326047.0,306607967778.0,259028204803.0,167135621484.0,158661112561.0,192097235663.0
2,Tiền và tương đương tiền,24066118527.0,17098722166.0,35397973902.0,24961274042.0,10068650056.0,16863948714.0,23744900288.0,98990357151.0,135271541796.0,12215953075.0
3,Tiền,11066118527.0,4098722166.0,6397973902.0,12961274042.0,10068650056.0,16863948714.0,19744900288.0,4150357151.0,1282541796.0,7215953075.0
4,Các khoản tương đương tiền,13000000000.0,13000000000.0,29000000000.0,12000000000.0,0.0,0.0,4000000000.0,94840000000.0,133989000000.0,5000000000.0
5,Giá trị thuần đầu tư ngắn hạn,19000000000.0,69500000000.0,90000000000.0,153000000000.0,212200000000.0,241723000000.0,221300000000.0,55768000000.0,11600000000.0,171080000000.0
6,Đầu tư ngắn hạn,19000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Dự phòng đầu tư ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Chứng khoán đầu tư giữ đến ngày đáo hạn,0.0,69500000000.0,90000000000.0,153000000000.0,212200000000.0,241723000000.0,221300000000.0,55768000000.0,11600000000.0,171080000000.0
9,Các khoản phải thu,5162654179.0,34710182617.0,37445451990.0,36407943137.0,37294053051.0,45414442858.0,10880120922.0,8400465338.0,7198439157.0,6118806895.0
10,Phải thu khách hàng,1579401886.0,3415768921.0,5000034539.0,3806864456.0,4865800451.0,10658330642.0,7939382817.0,6059791703.0,6045411407.0,4561637420.0
11,Trả trước người bán,2862135416.0,85970000.0,1206606100.0,500159047.0,402683584.0,1123602165.0,395884343.0,904642152.0,115976794.0,206048899.0
12,Phải thu nội bộ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Phải thu về XDCB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Phải thu về cho vay ngắn hạn,0.0,30000000000.0,30000000000.0,30000000000.0,30000000000.0,30000000000.0,0.0,0.0,0.0,0.0
15,Phải thu khác,721116877.0,1208443696.0,1238811351.0,2100919634.0,2025569016.0,3632510051.0,2617922595.0,1532282394.0,1190052256.0,1510245401.0
16,Dự phòng nợ khó đòi,0.0,0.0,0.0,0.0,0.0,0.0,-73068833.0,-96250911.0,-153001300.0,-159124825.0
17,Tài sản thiếu chờ xử lý,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
