,Unnamed: 0,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022
0,Lưu chuyển tiền thuần từ các hoạt động sản xuất kinh doanh,18017754768.0,9122601296.0,2459919068.0,11514945411.0,-9095477014.0,-6740701050.0,6266369902.0,7619603827.0,20750628449.0,7650911462.0
21,Lưu chuyển tiền tệ ròng từ hoạt động đầu tư,39803494629.0,121168959109.0,38936394277.0,1378674184.0,2505280451.0,322149318.0,-987473534.0,-12992388407.0,-135804645322.0,-10558595098.0
22,Tiền mua tài sản cố định và các tài sản dài hạn khác,-2219632848.0,-2006092490.0,-1073426111.0,-386815334.0,-837518597.0,-186339264.0,-1387358334.0,1166507390.0,-1886487405.0,-1519411119.0
23,Tiền thu được từ thanh lý tài sản cố định,56363636.0,106825455.0,14345455.0,40909091.0,14345455.0,0.0,5509091.0,-5509091.0,5509091.0,0.0
24,Tiền cho vay hoặc mua công cụ nợ,0.0,-9000000000.0,-6500000000.0,-9100000000.0,0.0,0.0,-2600000000.0,-25500000000.0,-132980000000.0,-10000000000.0
25,Tiền thu từ cho vay hoặc thu từ phát hành công cụ nợ,38500000000.0,129800000000.0,45500000000.0,10268000000.0,4000000000.0,0.0,2500000000.0,9100000000.0,0.0,0.0
26,Đầu tư vào các doanh nghiệp khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,Tiền thu từ việc bán các khoản đầu tư vào các doanh nghiệp khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,Cổ tức và tiền lãi nhận được,3466763841.0,2268226144.0,995474933.0,556580427.0,-671546407.0,508488582.0,494375709.0,2246613294.0,-943667008.0,960816021.0
29,Lưu chuyển tiền tệ từ hoạt động tài chính,-76906413680.0,-52093586320.0,0.0,-5000000000.0,0.0,0.0,0.0,-5000000000.0,0.0,0.0
30,Tiền thu từ phát hành cổ phiếu và vốn góp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,"Chi trả cho việc mua lại, trả lại cổ phiếu",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,Tiền thu được các khoản đi vay,11440000000.0,36500000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,Tiển trả các khoản đi vay,0.0,-47940000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,Tiền thanh toán vốn gốc đi thuê tài chính,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,Cổ tức đã trả,-88346413680.0,-40653586320.0,0.0,-5000000000.0,0.0,0.0,0.0,-5000000000.0,0.0,0.0
37,Lưu chuyển tiền thuần trong kỳ,-19085164283.0,78197974085.0,41396313345.0,7893619595.0,-6590196563.0,-6418551732.0,5278896368.0,-10372784580.0,-115054016873.0,-2907683636.0
38,Tiền và tương đương tiền đầu kỳ,39877547349.0,20792383066.0,98990357151.0,140386670496.0,148280290091.0,141690093528.0,135271541796.0,140550438164.0,130177653584.0,15123636711.0
39,Ảnh hưởng của chênh lệch tỷ giá,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,Tiền và tương đương tiền cuối kỳ,20792383066.0,98990357151.0,140386670496.0,148280290091.0,141690093528.0,135271541796.0,140550438164.0,130177653584.0,15123636711.0,12215953075.0
