,Unnamed: 0,2014,2015,2016,2017,2018,2019,2020,2021
0,Lưu chuyển tiền thuần từ các hoạt động sản xuất kinh doanh,1968995123.0,1394870696.0,-1242204402.0,1047272705.0,2111809584.0,1530630511.0,2087595008.0,1075589362.0
21,Lưu chuyển tiền tệ ròng từ hoạt động đầu tư,810207.0,4802875.0,159374168.0,300297249.0,565558.0,-4817760.0,139438.0,44920.0
22,Tiền mua tài sản cố định và các tài sản dài hạn khác,0.0,0.0,0.0,0.0,0.0,-5000000.0,0.0,0.0
23,Tiền thu được từ thanh lý tài sản cố định,0.0,0.0,0.0,300000000.0,0.0,0.0,0.0,0.0
24,Tiền cho vay hoặc mua công cụ nợ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,Tiền thu từ cho vay hoặc thu từ phát hành công cụ nợ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,Đầu tư vào các doanh nghiệp khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,Tiền thu từ việc bán các khoản đầu tư vào các doanh nghiệp khác,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,Cổ tức và tiền lãi nhận được,810207.0,4802875.0,159374168.0,297249.0,565558.0,182240.0,139438.0,44920.0
29,Lưu chuyển tiền tệ từ hoạt động tài chính,-2015901317.0,2826000000.0,-2920463783.0,-1686403523.0,-1990488877.0,-1715561170.0,-1020098037.0,-342000000.0
30,Tiền thu từ phát hành cổ phiếu và vốn góp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,"Chi trả cho việc mua lại, trả lại cổ phiếu",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,Tiền thu được các khoản đi vay,4047469683.0,2850000000.0,0.0,0.0,864000000.0,137500000.0,58000000.0,0.0
33,Tiển trả các khoản đi vay,-6063371000.0,-24000000.0,-2920463783.0,-1686403523.0,-2854488877.0,-1853061170.0,-1078098037.0,-342000000.0
34,Tiền thanh toán vốn gốc đi thuê tài chính,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,Cổ tức đã trả,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,Lưu chuyển tiền thuần trong kỳ,-46095987.0,4225673571.0,-4003294017.0,-338833569.0,121886265.0,-189748419.0,1067636409.0,733634282.0
38,Tiền và tương đương tiền đầu kỳ,369806094.0,323710107.0,4549383678.0,546089661.0,212397051.0,334283316.0,144534897.0,1212171306.0
39,Ảnh hưởng của chênh lệch tỷ giá,0.0,0.0,0.0,5140959.0,0.0,0.0,0.0,0.0
40,Tiền và tương đương tiền cuối kỳ,323710107.0,4549383678.0,546089661.0,212397051.0,334283316.0,144534897.0,1212171306.0,1945805588.0
